split,auc,ap,f1,recall,precision,accuracy,far,tp,fp,tn,fn
val,0.9330109249915781,0.9282438216699962,0.8516642082985956,0.8843899840170485,0.821273964131107,0.8490110320517005,0.18499551913967482,6640,1445,6366,868
test,0.8958315385830704,0.8789709757784439,0.8299343044844331,0.8835908040384381,0.7824213700990952,0.8276101685100469,0.22325375773651635,7264,2020,7028,957
