rank,alpha,lora_dropout,val_auc,epochs_run
4,8,0.1,0.8678506868418845,6
4,8,0.05,0.8616633676925634,8
16,32,0.05,0.8614531377746997,5
16,32,0.1,0.8603784128240096,5
8,16,0.0,0.8588071247559184,5
16,32,0.0,0.8548717307050113,6
4,8,0.0,0.8535306545499111,9
8,16,0.1,0.8478383511599941,10
8,16,0.05,0.8475831296235673,8
